INFO 2020-10-23 10:39:00,299 message
INFO 2020-10-23 11:26:37,819 message
INFO 2020-10-23 11:43:28,324 message
INFO 2020-10-23 11:43:49,050 message
INFO 2020-10-23 11:43:57,553 message
INFO 2020-10-23 14:19:38,111 登录功能开始
INFO 2020-10-23 14:19:38,326 -输入用户名-
INFO 2020-10-23 14:19:38,466 -输入密码-
INFO 2020-10-23 14:19:38,571 -点击登录-
INFO 2020-10-23 14:22:28,631 登录功能开始
INFO 2020-10-23 14:22:28,776 -输入用户名-
INFO 2020-10-23 14:22:28,916 -输入密码-
INFO 2020-10-23 14:22:28,988 -点击登录-
INFO 2020-10-23 14:26:37,022 登录功能开始
INFO 2020-10-23 14:26:37,157 -输入用户名-
INFO 2020-10-23 14:26:37,294 -输入密码-
INFO 2020-10-23 14:26:37,364 -点击登录-
INFO 2020-10-23 14:33:03,429 登录功能开始
INFO 2020-10-23 14:33:03,549 -输入用户名-
INFO 2020-10-23 14:33:03,698 -输入密码-
INFO 2020-10-23 14:33:03,766 -点击登录-
INFO 2020-10-23 14:35:15,181 登录功能开始
INFO 2020-10-23 14:35:15,333 -输入用户名-
INFO 2020-10-23 14:35:15,498 -输入密码-
INFO 2020-10-23 14:35:15,604 -点击登录-
INFO 2020-10-23 15:03:10,360 登录功能开始
INFO 2020-10-23 15:03:10,482 -输入用户名-
INFO 2020-10-23 15:03:10,593 -输入密码-
INFO 2020-10-23 15:03:10,670 -点击登录-
INFO 2020-10-23 15:06:44,027 登录功能开始
INFO 2020-10-23 15:06:44,205 -输入用户名-
INFO 2020-10-23 15:06:44,388 -输入密码-
INFO 2020-10-23 15:06:44,493 -点击登录-
INFO 2020-10-23 15:11:56,669 登录功能开始
INFO 2020-10-23 15:11:56,815 -输入用户名-
INFO 2020-10-23 15:11:56,953 -输入密码-
INFO 2020-10-23 15:11:57,058 -点击登录-
INFO 2020-10-23 15:11:57,064 -获取弹出框内容-
INFO 2020-10-23 15:15:12,899 登录功能开始
INFO 2020-10-23 15:15:13,048 -输入用户名-
INFO 2020-10-23 15:15:13,215 -输入密码-
INFO 2020-10-23 15:15:13,310 -点击登录-
INFO 2020-10-23 15:15:13,312 -获取弹出框内容-
INFO 2020-10-23 15:16:36,772 登录功能开始
INFO 2020-10-23 15:16:36,951 -输入用户名-
INFO 2020-10-23 15:16:37,125 -输入密码-
INFO 2020-10-23 15:16:37,224 -点击登录-
INFO 2020-10-23 15:16:37,230 -获取弹出框内容-
INFO 2020-10-23 22:36:52,447 登录功能开始
INFO 2020-10-23 22:36:52,595 -输入用户名-
INFO 2020-10-23 22:36:52,686 -输入密码-
INFO 2020-10-23 22:36:52,754 -点击登录-
INFO 2020-10-23 22:36:52,754 -获取弹出框内容-
INFO 2020-10-23 22:38:43,601 登录功能开始
INFO 2020-10-23 22:38:43,739 -输入用户名-
INFO 2020-10-23 22:38:43,872 -输入密码-
INFO 2020-10-23 22:38:43,958 -点击登录-
INFO 2020-10-23 22:38:43,958 -获取弹出框内容-
INFO 2020-10-23 22:40:20,446 登录功能开始
INFO 2020-10-23 22:40:20,552 -输入用户名-
INFO 2020-10-23 22:40:20,701 -输入密码-
INFO 2020-10-23 22:40:20,799 -点击登录-
INFO 2020-10-23 22:40:20,799 -获取弹出框内容-
INFO 2020-10-23 22:42:38,015 登录功能开始
INFO 2020-10-23 22:42:38,148 -输入用户名-
INFO 2020-10-23 22:42:38,280 -输入密码-
INFO 2020-10-23 22:42:38,358 -点击登录-
INFO 2020-10-23 22:42:38,358 -获取弹出框内容-
INFO 2020-10-23 22:46:54,033 登录功能开始
INFO 2020-10-23 22:46:54,150 -输入用户名-
INFO 2020-10-23 22:46:54,290 -输入密码-
INFO 2020-10-23 22:46:54,376 -点击登录-
INFO 2020-10-23 22:46:54,376 -获取弹出框内容-
INFO 2020-10-23 22:49:07,966 登录功能开始
INFO 2020-10-23 22:49:08,073 -输入用户名-
INFO 2020-10-23 22:49:08,225 -输入密码-
INFO 2020-10-23 22:49:08,313 -点击登录-
INFO 2020-10-23 22:49:08,321 -获取弹出框内容-
